station_name,distance
Shenfield,3454.9236366470172
Brentwood,3457.5445594274843
Ockendon,3461.682835816462
Harold Wood,3462.5620675073546
Upminster,3462.7836252471006
Chafford Hundred,3463.29359262104
Upminster Bridge,3463.913795167143
Emerson Park,3464.3976290472838
Gidea Park,3464.824372580751
Hornchurch,3465.0534708604155
Epping,3466.4581711408414
Romford,3466.5851981055607
Elm Park,3466.6573110658574
Purfleet,3466.744424739249
Theydon Bois,3467.977409838761
Rainham,3468.316545667587
Dagenham East,3468.8797793112017
Dagenham Heathway,3470.1687333387163
Debden,3470.2533693012374
Slade Green,3470.260691783047
Chadwell Heath,3470.3398692632427
Erith,3470.769806904999
Dagenham Dock,3470.920424167872
Grange Hill,3470.944479705917
Hainault,3471.2377968471596
Goodmayes,3471.5217048109466
Becontree,3471.576255188258
Fairlop,3471.725830610469
Crayford,3471.7884368710234
Belvedere,3471.805130671849
Chigwell,3471.814048704028
Loughton,3472.245726344545
Barkingside,3472.2603541031726
Barnehurst,3472.2896388230083
Broxbourne,3472.4576431427445
Newbury Park,3472.5386850169007
Seven Kings,3472.60225191735
Barking Riverside,3473.1560118543384
Upney,3473.260372446865
Buckhurst Hill,3473.3787111682614
Abbey Wood,3473.9049567977668
Roding Valley,3473.924674729337
Bexley,3474.0515981580625
Gants Hill,3474.0675462715926
Bexleyheath,3474.122234831264
Barking,3474.5546736148353
Ilford,3474.576104942343
Woodford,3474.946389541397
Cheshunt,3474.9856999290637
Redbridge,3475.411109536157
Chingford,3475.5210557535756
Albany Park,3475.6554144923084
Waltham Cross,3475.83792355625
South Woodford,3475.9482832833946
Theobalds Grove,3476.091026607672
Welling,3476.117527566365
Plumstead,3476.269760707079
Manor Park,3476.304113041499
Gallions Reach,3476.3282214139786
East Ham,3476.459701415591
Enfield Lock,3476.512384464126
Woodgrange Park,3476.5264821735727
Wanstead,3476.5423230463894
Snaresbrook,3476.780781352389
Beckton,3476.7823400274274
Cyprus,3476.8609445314823
Woolwich,3477.0069401392343
Highams Park,3477.108928750012
Sidcup,3477.2075924781343
King George V,3477.2210573547372
Woolwich Arsenal,3477.241995732971
Brimsdown,3477.289930477451
Beckton Park,3477.429325300405
Wanstead Park,3477.595048244338
Turkey Street,3477.6575817942776
Upton Park,3477.6585209287728
Forest Gate,3477.833100328732
Falconwood,3477.8451333824414
Ponders End,3477.9958319090397
Leytonstone,3478.0575820996773
Wood Street,3478.06841476916
Royal Albert,3478.06864556587
London City Airport,3478.0819979361527
Woolwich Dockyard,3478.137852165888
Leytonstone High Road,3478.2982647000536
St Mary Cray,3478.5111738710307
Prince Regent,3478.7874344179286
Knockholt,3478.9115239358516
Plaistow,3478.949741354529
Southbury,3478.9658246234076
Pontoon Dock,3479.079904023262
Leyton Midland Road,3479.136111339277
Maryland,3479.17085368729
New Eltham,3479.205287355837
Custom House,3479.2788412619057
Walthamstow Central,3479.3717692007635
Leyton,3479.4699574320184
Eltham,3479.6726203808544
Walthamstow Queens Road,3479.681052565239
West Silvertown,3479.7699866732555
Royal Victoria,3479.8055838910523
Abbey Road,3479.832164151194
Charlton,3479.83530359623
West Ham,3479.8628447757383
Stratford High Street,3479.9008386678856
Chelsfield,3479.9121442686155
Stratford,3479.9352476929325
Angel Road,3480.0880487978006
Stratford International,3480.1385158819976
Canning Town,3480.241831495993
Star Lane,3480.2447903772254
Bush Hill Park,3480.286562553522
St James Street,3480.296104102285
Meridian Water,3480.391328554605
Mottingham,3480.423254989918
Edmonton Green,3480.4282088583864
Orpington,3480.5245165953743
Enfield Town,3480.5284500188695
Blackhorse Road,3480.535503062065
Westcombe Park,3480.779456600833
Pudding Mill Lane,3480.805032119909
Northumberland Park,3480.8406721423794
Petts Wood,3480.872800284164
Kidbrooke,3480.951334278521
Crews Hill,3481.044781258435
Gordon Hill,3481.0585657818197
North Greenwich,3481.0788936479585
Lea Bridge,3481.0904070677016
Bromley-by-Bow,3481.105139139339
East India,3481.1344233457544
Enfield Chase,3481.233003600893
Hackney Wick,3481.251939942118
Chislehurst,3481.303704499555
Blackwall,3481.482153351776
Silver Street,3481.518146253364
Langdon Park,3481.5659276937595
Bow Church,3481.5665389539417
Devons Road,3481.614671303373
Elmstead Woods,3481.710622338184
All Saints,3481.7270922801563
Tottenham Hale,3481.7766228413493
Maze Hill,3481.7780622028445
White Hart Lane,3481.8037428535054
Bow Road,3481.8383087059456
Homerton,3481.9895868253625
Grange Park,3482.050867130074
Blackheath,3482.1358396130954
Poplar,3482.14056737146
Bruce Grove,3482.201896519286
Bickley,3482.362487968888
West India Quay,3482.3865600802023
Lee,3482.436059490137
Canary Wharf,3482.4389693673943
Mile End,3482.442596923447
Crossharbour and London Arena,3482.448603939958
Island Gardens,3482.470386228941
South Quay,3482.4801139374013
Grove Park,3482.5856026999777
Heron Quays,3482.607188382541
Winchmore Hill,3482.622175631569
Mudchute,3482.6305060214777
Clapton,3482.631477414783
Westferry,3482.6451411815992
Cutty Sark for Maritime Greenwich,3482.7112370078444
Seven Sisters,3482.7497354231273
South Tottenham,3482.8255096208077
Hackney Central,3483.066824309447
Greenwich,3483.160229101829
Hither Green,3483.24775678667
Hackney Downs,3483.2926266993873
Stamford Hill,3483.3681211497246
Limehouse,3483.384375661891
Sundridge Park,3483.399757109177
Rectory Road,3483.4445186677576
London Fields,3483.4582777979595
Stoke Newington,3483.4705865713804
Lewisham,3483.4995242910686
Stepney Green,3483.5229620395394
Elverson Road,3483.6460900877646
Deptford Bridge,3483.7453592967818
Cambridge Heath,3483.7642896834404
Bromley North,3483.7773639978013
Palmers Green,3483.812154316363
Bethnal Green,3483.8374393934955
Deptford,3483.8403324321075
St Johns,3484.0378249431164
Oakwood,3484.084291357057
Bromley South,3484.1211880428955
Bethnal Green Rail,3484.249694908596
Ladywell,3484.2807894868415
New Cross,3484.3299820159523
Dalston Kingsland,3484.344733094884
Dalston Junction,3484.365575752633
Whitechapel,3484.3948709436418
Southgate,3484.41323006302
Turnpike Lane,3484.4358746122716
Shadwell,3484.5573196794285
Wood Green,3484.593550449822
Harringay Green Lanes,3484.654277075059
Surrey Quays,3484.6562586915556
Canada Water,3484.676166538811
Rotherhithe,3484.681608639974
Haggerston,3484.693652453791
Manor House,3484.7401361840452
Wapping,3484.7612114293274
New Cross Gate,3484.844347118055
Shortlands,3484.8450076450777
Bowes Park,3484.8749689352107
Hoxton,3484.977912671395
Cockfosters,3485.0791301600602
Catford Bridge,3485.0928312103006
Harringay,3485.0973421158665
Brockley,3485.141556875742
Ravensbourne,3485.1476266648606
Bounds Green,3485.1663985596874
Hornsey,3485.1687131699564
Catford,3485.2207306664454
Bellingham,3485.2330542507816
Alexandra Palace,3485.2476435380563
South Bermondsey,3485.342188831449
Beckenham Hill,3485.3429288585407
Shoreditch High Street,3485.384658496511
Canonbury,3485.4192313764647
Crofton Park,3485.4394026485575
Aldgate East,3485.4485720156536
Arnos Grove,3485.459968462916
Hayes,3485.54437242596
Bermondsey,3485.5582621521694
Finsbury Park,3485.636791062511
Aldgate,3485.6471260777594
Tower Gateway,3485.7230183722595
Arsenal,3485.8498899354595
Tower Hill,3485.871009716537
Fenchurch Street,3485.944860709952
Liverpool Street,3485.9476632665937
Essex Road,3485.9591250782837
Old Street,3485.9826168852464
Queens Road Peckham,3486.0351863097453
Drayton Park,3486.0805499418593
Nunhead,3486.099805270322
Crouch Hill,3486.102302204095
New Southgate,3486.1069573667796
Honor Oak Park,3486.1091874123113
Hadley Wood,3486.16338551201
Highbury and Islington,3486.2285487799263
Moorgate,3486.352120268606
Lower Sydenham,3486.4232772938085
Monument,3486.4747734524835
Beckenham Junction,3486.476937864019
Bank,3486.5501352572023
Holloway Road,3486.553510887914
Oakleigh Park,3486.6860227542506
London Bridge,3486.6961218085735
New Barnet,3486.7012158212337
Cannon Street,3486.708608495947
Barbican,3486.844880967776
Angel,3486.853919658838
New Beckenham,3486.8713537879544
West Wickham,3486.925622866911
Mansion House,3486.9350806549332
Peckham Rye,3487.038836363234
St. Pauls,3487.0456565588656
Caledonian Road and Barnsbury,3487.072307469624
Caledonian Road,3487.0963975575028
Forest Hill,3487.1481207795596
Upper Holloway,3487.176026129878
Farringdon,3487.305720093235
Eden Park,3487.3332284765447
Borough,3487.367442464952
City Thameslink,3487.4716037569588
Archway,3487.491332069946
Blackfriars,3487.5232657194165
Clock House,3487.542008585338
Beckenham Road,3487.677078272744
Kent House,3487.7083347012804
Sydenham,3487.7325994294088
Highgate,3487.7797434751305
Totteridge and Whetstone,3487.823562722605
Chancery Lane,3487.8322126373428
High Barnet,3487.94572904734
Penge East,3487.9840972515913
Elephant and Castle,3487.993868504891
Southwark,3488.006984958592
Tufnell Park,3488.0138028818897
East Dulwich,3488.02417336534
King's Cross,3488.048128714173
Kings Cross St. Pancras,3488.1391912540066
Avenue Road,3488.176438552251
Waterloo East,3488.21166764871
St Pancras,3488.235248360176
Temple,3488.237933957848
Holborn,3488.3904326549896
Kentish Town,3488.4412293801824
Denmark Hill,3488.448137437194
Penge West,3488.457255979147
Russell Square,3488.4711444702734
Elmers End,3488.5127797063687
Waterloo,3488.51698613378
East Finchley,3488.551567662152
Kennington,3488.5555526310764
Lambeth North,3488.5780345160842
New Addington,3488.635595460893
Camden Road,3488.678168942861
Woodside Park,3488.696687832708
King Henry's Drive,3488.712485382429
Birkbeck,3488.734586516495
Fieldway,3488.7515530072938
North Dulwich,3488.788542743252
Euston,3488.812394127877
Covent Garden,3488.86712797874
Gospel Oak,3488.929717284465
Mornington Crescent,3488.9413752468827
Embankment,3488.942272746646
Camden Town,3488.9615812358493
Anerley,3488.9662346766236
Kentish Town West,3488.982355823535
Charing Cross,3489.0586531129597
Euston Square,3489.0697255423925
Addington Village,3489.0854356007176
Sydenham Hill,3489.1527491055253
Tottenham Court Road,3489.1586145965302
Leicester Square,3489.1659795808946
Harrington Road,3489.1806911813596
Goodge Street,3489.225098004703
Crystal Palace,3489.226785519076
Loughborough Junction,3489.251915412174
West Finchley,3489.2569680808924
Warren Street,3489.2940094825044
Westminster,3489.3441187143408
Arena,3489.3526476821235
Oval,3489.373155683616
West Dulwich,3489.5001146128084
Chalk Farm,3489.5266493201307
Piccadilly Circus,3489.5817940801994
Great Portland Street,3489.6920678407923
Gipsy Hill,3489.704989172173
Herne Hill,3489.7546405488197
Regents Park,3489.7805424780363
Hampstead Heath,3489.794221933271
Oxford Circus,3489.8255742092606
Gravel Hill,3489.8294175000738
Finchley Central,3489.860293371647
Vauxhall,3489.882696862435
Belsize Park,3489.9517761554334
Woodside,3489.9820644855804
